Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,ER,0.7286821705426356,0.6881474393643133,0.7286821705426356,0.6962995211222616,0.7454545454545455,0.7187747035573122,0.7454545454545455,0.725101085820726,0.6586826347305389,0.5988460142651759,0.6586826347305389,0.6224311397329438
Decision Tree,ER,0.8170542635658915,0.8268619683148573,0.8170542635658915,0.7849177206582347,0.8454545454545455,0.8483572567783094,0.8454545454545455,0.8277684213040934,0.718562874251497,0.6571311020343419,0.718562874251497,0.6679822481385457
KNN,ER,0.7534883720930232,0.7167102237875159,0.7534883720930232,0.7067079263249059,0.7454545454545455,0.7012727272727273,0.7454545454545455,0.6977548767022451,0.7245508982035929,0.6258126603934988,0.7245508982035929,0.6428472632200388
Logistic Regression,ER,0.7550387596899225,0.7290622655663916,0.7550387596899225,0.6803783242461333,0.7636363636363637,0.760548885077187,0.7636363636363637,0.6900870406189555,0.7245508982035929,0.6015080949212686,0.7245508982035929,0.6338180282791062
Random Forest,ER,0.924031007751938,0.9310678331208512,0.924031007751938,0.9192520153182312,0.9727272727272728,0.9736898395721926,0.9727272727272728,0.9722003677037006,0.7365269461077845,0.6672369546621044,0.7365269461077845,0.658375643080037
SVM,ER,0.8,0.8423645320197044,0.8,0.7476666255499362,0.8090909090909091,0.8480141218005296,0.8090909090909091,0.7626535626535627,0.7425149700598802,0.684489915873774,0.7425149700598802,0.6531807021289914
Naive Bayes,ER_HER2,0.7798449612403101,0.7487053398615797,0.7798449612403101,0.7611659932064814,0.7818181818181819,0.7954704944178629,0.7818181818181819,0.7884740259740258,0.7724550898203593,0.7402767849818953,0.7724550898203593,0.7520482843836136
Decision Tree,ER_HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6646706586826348,0.6793008577439715,0.6646706586826348,0.6717111232081293
KNN,ER_HER2,0.8573643410852713,0.8456968303163314,0.8573643410852713,0.8324644103185894,0.9,0.8872641509433963,0.9,0.8757461605331789,0.7245508982035929,0.6598144886697194,0.7245508982035929,0.6882381715442356
Logistic Regression,ER_HER2,0.8387596899224806,0.8540716131413806,0.8387596899224806,0.7835635545721097,0.8818181818181818,0.8429292929292929,0.8818181818181818,0.8416555801921656,0.8023952095808383,0.7516829694647971,0.8023952095808383,0.7430364824457995
Random Forest,ER_HER2,0.9984496124031008,0.9984525431925089,0.9984496124031008,0.9984470187816281,1.0,1.0,1.0,1.0,0.8023952095808383,0.7455815641444384,0.8023952095808383,0.7251282432745594
SVM,ER_HER2,0.9922480620155039,0.9923207818840264,0.9922480620155039,0.9921816995124366,0.990909090909091,0.9910018552875696,0.990909090909091,0.9907505827505827,0.6826347305389222,0.6789670658682635,0.6826347305389222,0.6807833575057491
Naive Bayes,ER_HER2_PR,0.7348837209302326,0.7295809811943927,0.7348837209302326,0.7163476880911124,0.7363636363636363,0.7273423894113549,0.7363636363636363,0.7264107271130975,0.7245508982035929,0.7169369320853278,0.7245508982035929,0.7189890328578196
Decision Tree,ER_HER2_PR,0.8775193798449612,0.8830134099962286,0.8775193798449612,0.8731727146057282,0.8727272727272727,0.8754545454545456,0.8727272727272727,0.8685899240078807,0.9041916167664671,0.905152683218827,0.9041916167664671,0.9022570549070676
KNN,ER_HER2_PR,0.786046511627907,0.8002676755286168,0.786046511627907,0.7670785565650129,0.7545454545454545,0.77012247714335,0.7545454545454545,0.7233057851239669,0.7904191616766467,0.8195850524809628,0.7904191616766467,0.7642228143913775
Logistic Regression,ER_HER2_PR,0.8682170542635659,0.8768342291825943,0.8682170542635659,0.8623459520915869,0.8909090909090909,0.8998574596135571,0.8909090909090909,0.8861865407319953,0.9041916167664671,0.91238303587873,0.9041916167664671,0.900351092686422
Random Forest,ER_HER2_PR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8982035928143712,0.9015289578944878,0.8982035928143712,0.8951915863141956
SVM,ER_HER2_PR,0.8697674418604651,0.8781159487000506,0.8697674418604651,0.8640883629489842,0.8909090909090909,0.8998574596135571,0.8909090909090909,0.8861865407319953,0.8982035928143712,0.9041584237290387,0.8982035928143712,0.8944921528209463
