Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,ER,0.7286821705426356,0.6881474393643133,0.7286821705426356,0.6962995211222616,0.7454545454545455,0.7187747035573122,0.7454545454545455,0.725101085820726,0.6586826347305389,0.5988460142651759,0.6586826347305389,0.6224311397329438
Decision Tree,ER,0.8201550387596899,0.8278723866785009,0.8201550387596899,0.7904998461335561,0.8545454545454545,0.8571566731141199,0.8545454545454545,0.8396694214876033,0.7245508982035929,0.675334963075272,0.7245508982035929,0.6833903350793668
KNN,ER,0.7534883720930232,0.7167102237875159,0.7534883720930232,0.7067079263249059,0.7454545454545455,0.7012727272727273,0.7454545454545455,0.6977548767022451,0.7245508982035929,0.6258126603934988,0.7245508982035929,0.6428472632200388
Logistic Regression,ER,0.7550387596899225,0.7290622655663916,0.7550387596899225,0.6803783242461333,0.7636363636363637,0.760548885077187,0.7636363636363637,0.6900870406189555,0.7245508982035929,0.6015080949212686,0.7245508982035929,0.6338180282791062
Random Forest,ER,0.9302325581395349,0.9362126245847177,0.9302325581395349,0.926286559856775,0.9818181818181818,0.9822510822510823,0.9818181818181818,0.9815910105066731,0.7365269461077845,0.6672369546621044,0.7365269461077845,0.658375643080037
SVM,ER,0.8,0.8423645320197044,0.8,0.7476666255499362,0.8090909090909091,0.8480141218005296,0.8090909090909091,0.7626535626535627,0.7425149700598802,0.684489915873774,0.7425149700598802,0.6531807021289914
Naive Bayes,ER_PR,0.7162790697674418,0.7071158843459097,0.7162790697674418,0.695771959461887,0.7272727272727273,0.7178787878787879,0.7272727272727273,0.7184069800168872,0.7125748502994012,0.7003899178387412,0.7125748502994012,0.7010532780592661
Decision Tree,ER_PR,0.8682170542635659,0.8777856131798276,0.8682170542635659,0.8620937179200211,0.9,0.9072796934865901,0.9,0.8962247585601405,0.8802395209580839,0.8832760708092012,0.8802395209580839,0.87629204066512
KNN,ER_PR,0.8217054263565892,0.822873133716833,0.8217054263565892,0.8147494727921523,0.8,0.8054263565891472,0.8,0.7862801143323805,0.8203592814371258,0.8214905844524656,0.8203592814371258,0.8117842488665009
Logistic Regression,ER_PR,0.8682170542635659,0.8768342291825943,0.8682170542635659,0.8623459520915869,0.8909090909090909,0.8998574596135571,0.8909090909090909,0.8861865407319953,0.9041916167664671,0.91238303587873,0.9041916167664671,0.900351092686422
Random Forest,ER_PR,0.8930232558139535,0.902657642738858,0.8930232558139535,0.8886558263955244,0.9090909090909091,0.9148484848484848,0.9090909090909091,0.9061356600056291,0.8862275449101796,0.8910460675102124,0.8862275449101796,0.8820794649175282
SVM,ER_PR,0.8697674418604651,0.8781159487000506,0.8697674418604651,0.8640883629489842,0.8909090909090909,0.8998574596135571,0.8909090909090909,0.8861865407319953,0.8982035928143712,0.9041584237290387,0.8982035928143712,0.8944921528209463
Naive Bayes,ER_PR_HER2,0.7767441860465116,0.7430893512851898,0.7767441860465116,0.7565955013343499,0.7727272727272727,0.7933994197292069,0.7727272727272727,0.7826978942703802,0.7784431137724551,0.7556739667518111,0.7784431137724551,0.7645510802449822
Decision Tree,ER_PR_HER2,0.9751937984496124,0.975321766949674,0.9751937984496124,0.9746627212527396,0.9818181818181818,0.9821854912764004,0.9818181818181818,0.9811533704390849,0.7604790419161677,0.7379168423715948,0.7604790419161677,0.7474316733848646
KNN,ER_PR_HER2,0.8635658914728682,0.8530648224459814,0.8635658914728682,0.8427590797520489,0.9,0.8872641509433963,0.9,0.8757461605331789,0.7365269461077845,0.6650961235423889,0.7365269461077845,0.6954168585905113
Logistic Regression,ER_PR_HER2,0.834108527131783,0.830638795430177,0.834108527131783,0.7783603850937064,0.8818181818181818,0.8429292929292929,0.8818181818181818,0.8416555801921656,0.8023952095808383,0.7516829694647971,0.8023952095808383,0.7430364824457995
Random Forest,ER_PR_HER2,0.9426356589147287,0.9463922617822597,0.9426356589147287,0.9382195949087587,0.9454545454545454,0.9486319505736981,0.9454545454545454,0.9380909090909091,0.8023952095808383,0.7455815641444384,0.8023952095808383,0.7251282432745594
SVM,ER_PR_HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6826347305389222,0.6999135144643394,0.6826347305389222,0.6907927838426933
