Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,HER2,0.7798449612403101,0.7451466660131839,0.7798449612403101,0.7587564259485924,0.7818181818181819,0.7954704944178629,0.7818181818181819,0.7884740259740258,0.7664670658682635,0.7359074953541194,0.7664670658682635,0.7477174682892279
Decision Tree,HER2,0.9906976744186047,0.9906976744186047,0.9906976744186047,0.9906976744186047,0.9727272727272728,0.9739312770562771,0.9727272727272728,0.973161668498456,0.7005988023952096,0.7073178318687301,0.7005988023952096,0.7038761927714672
KNN,HER2,0.8558139534883721,0.843584200070118,0.8558139534883721,0.8300876673713884,0.9181818181818182,0.9251286449399657,0.9181818181818182,0.8983377677089646,0.7544910179640718,0.6748502994011977,0.7544910179640718,0.7061254653323112
Logistic Regression,HER2,0.8263565891472868,0.8097905176035907,0.8263565891472868,0.7623774166433174,0.8818181818181818,0.7776033057851239,0.8818181818181818,0.8264382960035134,0.8083832335329342,0.7723663783544022,0.8083832335329342,0.746850537900018
Random Forest,HER2,0.9178294573643411,0.9253252211503823,0.9178294573643411,0.9077624616412712,0.9454545454545454,0.9486319505736981,0.9454545454545454,0.9380909090909091,0.8083832335329342,0.7824594713012999,0.8083832335329342,0.7381880534233548
SVM,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6586826347305389,0.646448708422571,0.6586826347305389,0.6524452413044233
Naive Bayes,HER2_ER,0.7286821705426356,0.6881474393643133,0.7286821705426356,0.6962995211222616,0.7363636363636363,0.7103843524896155,0.7363636363636363,0.7179794501403161,0.6646706586826348,0.6108391667369486,0.6646706586826348,0.6316345636899575
Decision Tree,HER2_ER,0.8093023255813954,0.8344264929297651,0.8093023255813954,0.7672858424108165,0.8272727272727273,0.8301924879244467,0.8272727272727273,0.8029134511761572,0.718562874251497,0.6154201031898467,0.718562874251497,0.6393946673271624
KNN,HER2_ER,0.7643410852713178,0.7554650642060425,0.7643410852713178,0.6963601649904538,0.7181818181818181,0.6046753246753247,0.7181818181818181,0.6373035164479014,0.7365269461077845,0.6381870405530403,0.7365269461077845,0.6402701842691428
Logistic Regression,HER2_ER,0.7767441860465116,0.7751819904709613,0.7767441860465116,0.7207488417440727,0.7909090909090909,0.8044130626654898,0.7909090909090909,0.7400491400491399,0.7305389221556886,0.6677644710578843,0.7305389221556886,0.6695699510070768
Random Forest,HER2_ER,0.9550387596899225,0.9576004020651528,0.9550387596899225,0.9535320418288886,0.9545454545454546,0.9571577847439915,0.9545454545454546,0.952989695071143,0.7365269461077845,0.6381870405530403,0.7365269461077845,0.6402701842691428
SVM,HER2_ER,0.8015503875968992,0.8433292533659732,0.8015503875968992,0.7503487694870719,0.8181818181818182,0.8538324420677362,0.8181818181818182,0.777558190601669,0.7425149700598802,0.684489915873774,0.7425149700598802,0.6531807021289914
Naive Bayes,HER2_ER_PR,0.7348837209302326,0.7295809811943927,0.7348837209302326,0.7163476880911124,0.7363636363636363,0.7273423894113549,0.7363636363636363,0.7264107271130975,0.7245508982035929,0.7169369320853278,0.7245508982035929,0.7189890328578196
Decision Tree,HER2_ER_PR,0.8775193798449612,0.8830134099962286,0.8775193798449612,0.8731727146057282,0.8727272727272727,0.8754545454545456,0.8727272727272727,0.8685899240078807,0.8982035928143712,0.8995999597443768,0.8982035928143712,0.8958412557293398
KNN,HER2_ER_PR,0.786046511627907,0.8002676755286168,0.786046511627907,0.7670785565650129,0.7545454545454545,0.77012247714335,0.7545454545454545,0.7233057851239669,0.7904191616766467,0.8195850524809628,0.7904191616766467,0.7642228143913775
Logistic Regression,HER2_ER_PR,0.8682170542635659,0.8768342291825943,0.8682170542635659,0.8623459520915869,0.8909090909090909,0.8998574596135571,0.8909090909090909,0.8861865407319953,0.9041916167664671,0.91238303587873,0.9041916167664671,0.900351092686422
Random Forest,HER2_ER_PR,0.9116279069767442,0.9194382414144066,0.9116279069767442,0.9086431624712854,0.9181818181818182,0.9272727272727272,0.9181818181818182,0.9150929842764786,0.9041916167664671,0.9092438074670331,0.9041916167664671,0.901033632532096
SVM,HER2_ER_PR,0.8697674418604651,0.8781159487000506,0.8697674418604651,0.8640883629489842,0.8909090909090909,0.8998574596135571,0.8909090909090909,0.8861865407319953,0.8982035928143712,0.9041584237290387,0.8982035928143712,0.8944921528209463
