Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,HER2,0.7798449612403101,0.7451466660131839,0.7798449612403101,0.7587564259485924,0.7818181818181819,0.7954704944178629,0.7818181818181819,0.7884740259740258,0.7664670658682635,0.7359074953541194,0.7664670658682635,0.7477174682892279
Decision Tree,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7125748502994012,0.6989170085615876,0.7125748502994012,0.705416491495188
KNN,HER2,0.8558139534883721,0.843584200070118,0.8558139534883721,0.8300876673713884,0.9181818181818182,0.9251286449399657,0.9181818181818182,0.8983377677089646,0.7544910179640718,0.6748502994011977,0.7544910179640718,0.7061254653323112
Logistic Regression,HER2,0.8263565891472868,0.8097905176035907,0.8263565891472868,0.7623774166433174,0.8818181818181818,0.7776033057851239,0.8818181818181818,0.8264382960035134,0.8083832335329342,0.7723663783544022,0.8083832335329342,0.746850537900018
Random Forest,HER2,0.9488372093023256,0.9518467852257183,0.9488372093023256,0.9454124725211154,0.9454545454545454,0.9486319505736981,0.9454545454545454,0.9380909090909091,0.8023952095808383,0.7455815641444384,0.8023952095808383,0.7251282432745594
SVM,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6586826347305389,0.646448708422571,0.6586826347305389,0.6524452413044233
Naive Bayes,HER2_PR,0.6604651162790698,0.6348833257592224,0.6604651162790698,0.6221144800730766,0.6272727272727273,0.5842157842157842,0.6272727272727273,0.5868748838073992,0.6167664670658682,0.5768571405357535,0.6167664670658682,0.58451621347469
Decision Tree,HER2_PR,0.7410852713178294,0.7557817902097668,0.7410852713178294,0.7085583076491427,0.7181818181818181,0.7218500797448165,0.7181818181818181,0.6764392313143868,0.6826347305389222,0.6639137831719112,0.6826347305389222,0.6240140568284281
KNN,HER2_PR,0.703875968992248,0.7014814666991748,0.703875968992248,0.6647019591170146,0.6,0.5327127659574468,0.6,0.5450245426149041,0.6407185628742516,0.5796642010097451,0.6407185628742516,0.5712525053842419
Logistic Regression,HER2_PR,0.6852713178294574,0.6750462089996974,0.6852713178294574,0.6392288269614449,0.6727272727272727,0.6474025974025973,0.6727272727272727,0.6205794205794206,0.688622754491018,0.6680448626556412,0.688622754491018,0.6517023096663815
Random Forest,HER2_PR,0.8325581395348837,0.867069057340671,0.8325581395348837,0.8163432529864988,0.8454545454545455,0.8749744637385087,0.8454545454545455,0.8313487544143403,0.7125748502994012,0.7705218932763843,0.7125748502994012,0.6402100707916322
SVM,HER2_PR,0.7271317829457364,0.8082547663943014,0.7271317829457364,0.6658032458131419,0.7181818181818181,0.8030008826125331,0.7181818181818181,0.6460721500721501,0.6706586826347305,0.6693941309926731,0.6706586826347305,0.5683435448554657
Naive Bayes,HER2_PR_ER,0.7457364341085271,0.7121895416382832,0.7457364341085271,0.7159393757054734,0.7818181818181819,0.7656565656565656,0.7818181818181819,0.7687103594080338,0.6706586826347305,0.6147669695573887,0.6706586826347305,0.6356791699177529
Decision Tree,HER2_PR_ER,0.9085271317829458,0.9095456836345309,0.9085271317829458,0.9089703073576476,0.9454545454545454,0.9454545454545454,0.9454545454545454,0.9454545454545454,0.8203592814371258,0.8203592814371258,0.8203592814371258,0.8203592814371258
KNN,HER2_PR_ER,0.8387596899224806,0.8318217372226568,0.8387596899224806,0.8283543304496563,0.8636363636363636,0.8658501523776665,0.8636363636363636,0.8512554112554114,0.7964071856287425,0.7824134340015622,0.7964071856287425,0.773156536316783
Logistic Regression,HER2_PR_ER,0.8651162790697674,0.893148604489074,0.8651162790697674,0.8710617552086232,0.8909090909090909,0.9159622541201489,0.8909090909090909,0.8956316410861865,0.8862275449101796,0.9109061219541303,0.8862275449101796,0.8910137910555466
Random Forest,HER2_PR_ER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8622754491017964,0.8582196717675761,0.8622754491017964,0.8551003013278462
SVM,HER2_PR_ER,0.8713178294573644,0.8989646454847707,0.8713178294573644,0.876989950371445,0.8909090909090909,0.9159622541201489,0.8909090909090909,0.8956316410861865,0.9041916167664671,0.9254906455032518,0.9041916167664671,0.908032140846512
