Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,PR,0.6589147286821705,0.6325795812913245,0.6589147286821705,0.6198640182645233,0.6181818181818182,0.5745454545454546,0.6181818181818182,0.5801462904911181,0.6107784431137725,0.5626688229380654,0.6107784431137725,0.5716552376191355
Decision Tree,PR,0.9069767441860465,0.9146030659915492,0.9069767441860465,0.9082092639426134,0.8818181818181818,0.8826816376112151,0.8818181818181818,0.8821723730814641,0.5748502994011976,0.5909710731552197,0.5748502994011976,0.581337383030725
KNN,PR,0.7364341085271318,0.7286343737990586,0.7364341085271318,0.7254316564922153,0.6636363636363637,0.641668449197861,0.6636363636363637,0.6428580619663421,0.6586826347305389,0.629296961632291,0.6586826347305389,0.6281589538190302
Logistic Regression,PR,0.6558139534883721,0.6269816791067793,0.6558139534883721,0.588153086956273,0.7,0.6980174464710548,0.7,0.6486599373477201,0.6467065868263473,0.579920803554182,0.6467065868263473,0.5614988235178535
Random Forest,PR,0.8232558139534883,0.8612724879333041,0.8232558139534883,0.8046192044839964,0.8272727272727273,0.8633366633366633,0.8272727272727273,0.8085517754229411,0.6766467065868264,0.6884088964927289,0.6766467065868264,0.5802769461077845
SVM,PR,0.724031007751938,0.8067287865737479,0.724031007751938,0.660630352071752,0.7090909090909091,0.7986013986013986,0.7090909090909091,0.6297520661157024,0.6706586826347305,0.6693941309926731,0.6706586826347305,0.5683435448554657
Naive Bayes,PR_ER,0.7410852713178294,0.7061865892864598,0.7410852713178294,0.7112977565174489,0.7818181818181819,0.7688016528925621,0.7818181818181819,0.7725775401069519,0.6706586826347305,0.6147669695573887,0.6706586826347305,0.6356791699177529
Decision Tree,PR_ER,0.8930232558139535,0.91110774447283,0.8930232558139535,0.8969380587046117,0.9,0.9209922251018141,0.9,0.9040198511166254,0.8622754491017964,0.8837903343891369,0.8622754491017964,0.8675085676487129
KNN,PR_ER,0.8449612403100775,0.8386776056253256,0.8449612403100775,0.8359499081501818,0.8636363636363636,0.8658501523776665,0.8636363636363636,0.8512554112554114,0.8203592814371258,0.8112600196432532,0.8203592814371258,0.8052725717396376
Logistic Regression,PR_ER,0.8682170542635659,0.8947944697406114,0.8682170542635659,0.873896118691845,0.8909090909090909,0.9159622541201489,0.8909090909090909,0.8956316410861865,0.8862275449101796,0.9109061219541303,0.8862275449101796,0.8910137910555466
Random Forest,PR_ER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.874251497005988,0.8776016059867331,0.874251497005988,0.875600965004181
SVM,PR_ER,0.8713178294573644,0.8989646454847707,0.8713178294573644,0.876989950371445,0.8909090909090909,0.9159622541201489,0.8909090909090909,0.8956316410861865,0.9041916167664671,0.9254906455032518,0.9041916167664671,0.908032140846512
Naive Bayes,PR_ER_HER2,0.7767441860465116,0.7430893512851898,0.7767441860465116,0.7565955013343499,0.7727272727272727,0.7933994197292069,0.7727272727272727,0.7826978942703802,0.7784431137724551,0.7556739667518111,0.7784431137724551,0.7645510802449822
Decision Tree,PR_ER_HER2,0.9674418604651163,0.9673404450454247,0.9674418604651163,0.9673873944141894,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.718562874251497,0.7280210571223964,0.718562874251497,0.7230880323029084
KNN,PR_ER_HER2,0.8635658914728682,0.8530648224459814,0.8635658914728682,0.8427590797520489,0.9,0.8872641509433963,0.9,0.8757461605331789,0.7365269461077845,0.6650961235423889,0.7365269461077845,0.6954168585905113
Logistic Regression,PR_ER_HER2,0.834108527131783,0.830638795430177,0.834108527131783,0.7783603850937064,0.8818181818181818,0.8429292929292929,0.8818181818181818,0.8416555801921656,0.8023952095808383,0.7516829694647971,0.8023952095808383,0.7430364824457995
Random Forest,PR_ER_HER2,0.8511627906976744,0.8740608228980321,0.8511627906976744,0.8055948769801146,0.9090909090909091,0.9175870858113848,0.9090909090909091,0.882909982174688,0.8083832335329342,0.7824594713012999,0.8083832335329342,0.7381880534233548
SVM,PR_ER_HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6826347305389222,0.6999135144643394,0.6826347305389222,0.6907927838426933
