Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,PR,0.6589147286821705,0.6325795812913245,0.6589147286821705,0.6198640182645233,0.6181818181818182,0.5745454545454546,0.6181818181818182,0.5801462904911181,0.6107784431137725,0.5626688229380654,0.6107784431137725,0.5716552376191355
Decision Tree,PR,0.8480620155038759,0.8494677156506799,0.8480620155038759,0.8486286411804627,0.8909090909090909,0.8901037401037402,0.8909090909090909,0.8901820874423614,0.592814371257485,0.5893712574850299,0.592814371257485,0.5910129547854098
KNN,PR,0.7364341085271318,0.7286343737990586,0.7364341085271318,0.7254316564922153,0.6636363636363637,0.641668449197861,0.6636363636363637,0.6428580619663421,0.6586826347305389,0.629296961632291,0.6586826347305389,0.6281589538190302
Logistic Regression,PR,0.6558139534883721,0.6269816791067793,0.6558139534883721,0.588153086956273,0.7,0.6980174464710548,0.7,0.6486599373477201,0.6467065868263473,0.579920803554182,0.6467065868263473,0.5614988235178535
Random Forest,PR,0.8077519379844961,0.8518977892621302,0.8077519379844961,0.7845331425307408,0.8090909090909091,0.8521994134897362,0.8090909090909091,0.7847933884297521,0.6646706586826348,0.6315217665933955,0.6646706586826348,0.5727622096377124
SVM,PR,0.724031007751938,0.8067287865737479,0.724031007751938,0.660630352071752,0.7090909090909091,0.7986013986013986,0.7090909090909091,0.6297520661157024,0.6706586826347305,0.6693941309926731,0.6706586826347305,0.5683435448554657
Naive Bayes,PR_HER2,0.7782945736434108,0.7441076722060717,0.7782945736434108,0.7576754799726615,0.7818181818181819,0.7954704944178629,0.7818181818181819,0.7884740259740258,0.7784431137724551,0.7504232913483379,0.7784431137724551,0.7606550340179855
Decision Tree,PR_HER2,0.937984496124031,0.9395496410869,0.937984496124031,0.9336803925752081,0.9363636363636364,0.933355614973262,0.9363636363636364,0.9295873305923558,0.7245508982035929,0.689331481963609,0.7245508982035928,0.7049113489362487
KNN,PR_HER2,0.8558139534883721,0.843584200070118,0.8558139534883721,0.8300876673713884,0.9090909090909091,0.8977430336653639,0.9090909090909091,0.8968181818181817,0.7305389221556886,0.6623656660189555,0.7305389221556886,0.6918322324202293
Logistic Regression,PR_HER2,0.8310077519379845,0.823614365216842,0.8310077519379845,0.7720810146420843,0.8727272727272727,0.7766472060050043,0.8727272727272727,0.8218887908208298,0.8143712574850299,0.8029187024723559,0.8143712574850299,0.7506875411067028
Random Forest,PR_HER2,0.8511627906976744,0.8740608228980321,0.8511627906976744,0.8055948769801146,0.9,0.9101851851851851,0.9,0.8660162601626017,0.8023952095808383,0.6438380723582775,0.8023952095808383,0.7144249706566933
SVM,PR_HER2,0.9922480620155039,0.9923207818840264,0.9922480620155039,0.9921816995124366,0.990909090909091,0.9910018552875696,0.990909090909091,0.9907505827505827,0.6766467065868264,0.6766467065868264,0.6766467065868264,0.6766467065868265
Naive Bayes,PR_HER2_ER,0.7457364341085271,0.7121895416382832,0.7457364341085271,0.7159393757054734,0.7818181818181819,0.7656565656565656,0.7818181818181819,0.7687103594080338,0.6706586826347305,0.6147669695573887,0.6706586826347305,0.6356791699177529
Decision Tree,PR_HER2_ER,0.9085271317829458,0.9095456836345309,0.9085271317829458,0.9089703073576476,0.9454545454545454,0.9454545454545454,0.9454545454545454,0.9454545454545454,0.8203592814371258,0.8203592814371258,0.8203592814371258,0.8203592814371258
KNN,PR_HER2_ER,0.8387596899224806,0.8318217372226568,0.8387596899224806,0.8283543304496563,0.8636363636363636,0.8658501523776665,0.8636363636363636,0.8512554112554114,0.7964071856287425,0.7824134340015622,0.7964071856287425,0.773156536316783
Logistic Regression,PR_HER2_ER,0.8651162790697674,0.893148604489074,0.8651162790697674,0.8710617552086232,0.8909090909090909,0.9159622541201489,0.8909090909090909,0.8956316410861865,0.8862275449101796,0.9109061219541303,0.8862275449101796,0.8910137910555466
Random Forest,PR_HER2_ER,0.9968992248062015,0.9969120910933128,0.9968992248062015,0.9968929944823308,0.990909090909091,0.9912225705329154,0.990909090909091,0.9909609495014725,0.8383233532934131,0.8315238136864956,0.8383233532934131,0.8279539173895948
SVM,PR_HER2_ER,0.8713178294573644,0.8989646454847707,0.8713178294573644,0.876989950371445,0.8909090909090909,0.9159622541201489,0.8909090909090909,0.8956316410861865,0.9041916167664671,0.9254906455032518,0.9041916167664671,0.908032140846512
