Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,HER2,0.8582089552238806,0.8670676175299491,0.8582089552238806,0.8620932472378369,0.8043478260869565,0.7851966873706004,0.8043478260869565,0.7946568884232583,0.7571428571428571,0.6975446428571429,0.7571428571428571,0.7142857142857142
Decision Tree,HER2,0.8731343283582089,0.8896608909475611,0.8731343283582089,0.8326222371747819,0.9130434782608695,0.9207729468599034,0.9130434782608695,0.8860802157061004,0.7428571428571429,0.6098081023454157,0.7428571428571429,0.6697892271662764
KNN,HER2,0.8656716417910447,0.8548121682450041,0.8656716417910447,0.8271088999447208,0.8695652173913043,0.8446241995281428,0.8695652173913043,0.8548136645962733,0.7857142857142857,0.7310924369747899,0.7857142857142857,0.7151055544168887
Logistic Regression,HER2,0.8768656716417911,0.8719342739427861,0.8768656716417911,0.8468745572500791,0.8913043478260869,0.8819875776397516,0.8913043478260869,0.8859204935684768,0.7714285714285715,0.6149068322981367,0.7714285714285715,0.6843317972350231
Random Forest,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7571428571428571,0.6123949579831933,0.7571428571428571,0.6771196283391405
SVM,HER2,0.996268656716418,0.9962850222571353,0.996268656716418,0.9962497241104208,1.0,1.0,1.0,1.0,0.7142857142857143,0.6843495487563285,0.7142857142857143,0.697320223636013
Naive Bayes,HER2_ER,0.7873134328358209,0.7784810043682421,0.7873134328358209,0.7728496828159804,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.7285714285714285,0.7852277753206546,0.7285714285714285,0.7505009935314758
Decision Tree,HER2_ER,0.8432835820895522,0.8400429823670762,0.8432835820895522,0.840791928515318,0.8043478260869565,0.8206191022135991,0.8043478260869565,0.8090037477295197,0.6142857142857143,0.7339682539682539,0.6142857142857143,0.6577051392585372
KNN,HER2_ER,0.7201492537313433,0.6914263751750139,0.7201492537313433,0.6803522406556498,0.7391304347826086,0.7236714975845411,0.7391304347826086,0.7250639386189259,0.7714285714285715,0.7377880184331798,0.7714285714285715,0.7523809523809523
Logistic Regression,HER2_ER,0.746268656716418,0.7325476688953423,0.746268656716418,0.7089062048202489,0.717391304347826,0.6911928651059086,0.717391304347826,0.6842212696468667,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.742857142857143
Random Forest,HER2_ER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.75625,0.8,0.771584699453552
SVM,HER2_ER,0.7238805970149254,0.8018685199954426,0.7238805970149254,0.6277881908288017,0.7391304347826086,0.8102766798418972,0.7391304347826086,0.6618993135011442,0.8285714285714286,0.686530612244898,0.8285714285714286,0.7508928571428571
Naive Bayes,HER2_ER_PR,0.8731343283582089,0.873813252154488,0.8731343283582089,0.87159381663113,0.6739130434782609,0.6788958461945498,0.6739130434782609,0.676090306156629,0.8142857142857143,0.8107142857142857,0.8142857142857143,0.801904761904762
Decision Tree,HER2_ER_PR,0.8843283582089553,0.8878442199897507,0.8843283582089553,0.8821695717218107,0.9347826086956522,0.9407114624505929,0.9347826086956522,0.9329620903833797,0.8,0.8174863387978141,0.8,0.7709090909090908
KNN,HER2_ER_PR,0.746268656716418,0.7525658472344161,0.746268656716418,0.7318797515565628,0.8043478260869565,0.8063241106719368,0.8043478260869565,0.7937569676700111,0.7571428571428571,0.743103448275862,0.7571428571428571,0.7342395921835175
Logistic Regression,HER2_ER_PR,0.8656716417910447,0.8717688730261735,0.8656716417910447,0.8621652915828525,0.9565217391304348,0.9592391304347826,0.9565217391304348,0.9557737260402057,0.8571428571428571,0.8663967611336033,0.8571428571428571,0.8457269700332962
Random Forest,HER2_ER_PR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8285714285714286,0.8254545454545454,0.8285714285714286,0.8192307692307692
SVM,HER2_ER_PR,0.8656716417910447,0.8756053509050492,0.8656716417910447,0.8612724396450926,0.9565217391304348,0.9592391304347826,0.9565217391304348,0.9557737260402057,0.8714285714285714,0.8913793103448275,0.8714285714285714,0.859303313508921
