Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,PR,0.7425373134328358,0.7394979771056491,0.7425373134328358,0.7397193138783692,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.7285714285714285,0.7185897435897437,0.7285714285714285,0.7221629855293222
Decision Tree,PR,0.753731343283582,0.825019638648861,0.753731343283582,0.7189059968859601,0.7608695652173914,0.8250265111346766,0.7608695652173914,0.7167643542413904,0.6714285714285714,0.6092741935483871,0.6714285714285714,0.6170239204721963
KNN,PR,0.7052238805970149,0.700684210686555,0.7052238805970149,0.6939756703409993,0.7391304347826086,0.7331133540372671,0.7391304347826086,0.7346423562412343,0.7142857142857143,0.6945454545454547,0.7142857142857143,0.6987179487179487
Logistic Regression,PR,0.7089552238805971,0.7056948470242822,0.7089552238805971,0.696165241209682,0.717391304347826,0.7058159232072275,0.717391304347826,0.7020933977455717,0.6285714285714286,0.638667900092507,0.6285714285714286,0.6331439393939394
Random Forest,PR,0.9216417910447762,0.9306337166625887,0.9216417910447762,0.9197189558694123,0.9347826086956522,0.9407114624505929,0.9347826086956522,0.9329620903833797,0.7,0.675,0.7,0.6799999999999999
SVM,PR,0.6417910447761194,0.7750780978826797,0.6417910447761194,0.534504815822366,0.717391304347826,0.8028311425682508,0.717391304347826,0.6458731701200591,0.7285714285714285,0.8044117647058823,0.7285714285714285,0.6384986993682645
Naive Bayes,PR_ER,0.8768656716417911,0.8747696421730626,0.8768656716417911,0.8746353379742724,0.6521739130434783,0.6664855072463769,0.6521739130434783,0.6581580177653109,0.7571428571428571,0.8104968303110718,0.7571428571428571,0.7767640468439523
Decision Tree,PR_ER,0.9440298507462687,0.9440720528023738,0.9440298507462687,0.9432609644146034,1.0,1.0,1.0,1.0,0.7571428571428571,0.7650279545016387,0.7571428571428571,0.7609440993788821
KNN,PR_ER,0.746268656716418,0.7293794186959938,0.746268656716418,0.7161787217757366,0.8043478260869565,0.813823857302118,0.8043478260869565,0.7813839559093693,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715
Logistic Regression,PR_ER,0.8768656716417911,0.894997650627517,0.8768656716417911,0.8803668220255814,0.9565217391304348,0.9619565217391305,0.9565217391304348,0.9572697522206638,0.8714285714285714,0.926530612244898,0.8714285714285714,0.8835538293482219
Random Forest,PR_ER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7714285714285715,0.7557142857142857,0.7714285714285715,0.7629760070438036
SVM,PR_ER,0.8656716417910447,0.8910496434668028,0.8656716417910447,0.870070843936997,0.9565217391304348,0.9619565217391305,0.9565217391304348,0.9572697522206638,0.8714285714285714,0.926530612244898,0.8714285714285714,0.8835538293482219
Naive Bayes,PR_ER_HER2,0.8694029850746269,0.873437197131227,0.8694029850746269,0.871273280136425,0.8260869565217391,0.7876643073811932,0.8260869565217391,0.8064182194616976,0.7428571428571429,0.6848072562358276,0.7428571428571429,0.7048206031256878
Decision Tree,PR_ER_HER2,0.917910447761194,0.9154142865917326,0.917910447761194,0.9093574679792528,0.8695652173913043,0.8446241995281428,0.8695652173913043,0.8548136645962733,0.6714285714285714,0.6238095238095239,0.6714285714285714,0.6457142857142858
KNN,PR_ER_HER2,0.8507462686567164,0.8143600552246976,0.8507462686567164,0.8030849849115081,0.8260869565217391,0.7876643073811932,0.8260869565217391,0.8064182194616976,0.8,0.8405797101449276,0.8,0.7237903225806451
Logistic Regression,PR_ER_HER2,0.8731343283582089,0.875080837767405,0.8731343283582089,0.836713961058903,0.8913043478260869,0.8819875776397516,0.8913043478260869,0.8859204935684768,0.7857142857142857,0.6173469387755102,0.7857142857142857,0.6914285714285714
Random Forest,PR_ER_HER2,0.996268656716418,0.9962850222571353,0.996268656716418,0.9962497241104208,1.0,1.0,1.0,1.0,0.7571428571428571,0.6123949579831933,0.7571428571428571,0.6771196283391405
SVM,PR_ER_HER2,0.9925373134328358,0.9926024897347325,0.9925373134328358,0.9924603953914638,1.0,1.0,1.0,1.0,0.7428571428571429,0.6848072562358276,0.7428571428571429,0.7048206031256878
