Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,PR,0.7425373134328358,0.7394979771056491,0.7425373134328358,0.7397193138783692,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.7285714285714285,0.7185897435897437,0.7285714285714285,0.7221629855293222
Decision Tree,PR,0.753731343283582,0.825019638648861,0.753731343283582,0.7189059968859601,0.7608695652173914,0.8250265111346766,0.7608695652173914,0.7167643542413904,0.6857142857142857,0.6285714285714286,0.6857142857142857,0.6267857142857143
KNN,PR,0.7052238805970149,0.700684210686555,0.7052238805970149,0.6939756703409993,0.7391304347826086,0.7331133540372671,0.7391304347826086,0.7346423562412343,0.7142857142857143,0.6945454545454547,0.7142857142857143,0.6987179487179487
Logistic Regression,PR,0.7089552238805971,0.7056948470242822,0.7089552238805971,0.696165241209682,0.717391304347826,0.7058159232072275,0.717391304347826,0.7020933977455717,0.6285714285714286,0.638667900092507,0.6285714285714286,0.6331439393939394
Random Forest,PR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6714285714285714,0.6497685185185186,0.6714285714285714,0.6572028339018631
SVM,PR,0.6417910447761194,0.7750780978826797,0.6417910447761194,0.534504815822366,0.717391304347826,0.8028311425682508,0.717391304347826,0.6458731701200591,0.7285714285714285,0.8044117647058823,0.7285714285714285,0.6384986993682645
Naive Bayes,PR_HER2,0.8694029850746269,0.8791680800542742,0.8694029850746269,0.8735162510349992,0.8043478260869565,0.7851966873706004,0.8043478260869565,0.7946568884232583,0.7714285714285715,0.7142857142857143,0.7714285714285715,0.7238095238095238
Decision Tree,PR_HER2,0.8992537313432836,0.8917579112633554,0.8992537313432836,0.8878973578945059,0.9347826086956522,0.9392292490118577,0.9347826086956522,0.921958348556814,0.7,0.6015625,0.7,0.6470588235294118
KNN,PR_HER2,0.8768656716417911,0.8924942594718714,0.8768656716417911,0.8395739735717757,0.8478260869565217,0.8335921325051759,0.8478260869565217,0.8402886909958676,0.8,0.8405797101449276,0.8,0.7237903225806451
Logistic Regression,PR_HER2,0.8694029850746269,0.861063866712947,0.8694029850746269,0.8338854544741424,0.8913043478260869,0.8819875776397516,0.8913043478260869,0.8859204935684768,0.7857142857142857,0.6173469387755102,0.7857142857142857,0.6914285714285714
Random Forest,PR_HER2,0.9067164179104478,0.915970741530443,0.9067164179104478,0.8886938234877694,0.9782608695652174,0.9787784679089028,0.9782608695652174,0.9771840987136953,0.7857142857142857,0.6173469387755102,0.7857142857142857,0.6914285714285714
SVM,PR_HER2,0.9925373134328358,0.9926024897347325,0.9925373134328358,0.9924603953914638,1.0,1.0,1.0,1.0,0.7428571428571429,0.6593406593406593,0.7428571428571429,0.6892857142857144
Naive Bayes,PR_HER2_ER,0.8880597014925373,0.8865064479774435,0.8880597014925373,0.886758158618751,0.6739130434782609,0.6949466443248964,0.6739130434782609,0.6816729128825328,0.7571428571428571,0.8104968303110718,0.7571428571428571,0.7767640468439523
Decision Tree,PR_HER2_ER,0.8768656716417911,0.8880937569529898,0.8768656716417911,0.8795846647254428,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.7285714285714285,0.7537662337662338,0.7285714285714285,0.740047759516786
KNN,PR_HER2_ER,0.7574626865671642,0.7438065486520884,0.7574626865671642,0.7318477593723933,0.8260869565217391,0.8338100686498856,0.8260869565217391,0.8098249576510446,0.7571428571428571,0.7650279545016387,0.7571428571428571,0.7609440993788821
Logistic Regression,PR_HER2_ER,0.8805970149253731,0.8973347547974413,0.8805970149253731,0.8838764976615052,0.9565217391304348,0.9619565217391305,0.9565217391304348,0.9572697522206638,0.8714285714285714,0.926530612244898,0.8714285714285714,0.8835538293482219
Random Forest,PR_HER2_ER,0.9776119402985075,0.9783043545160794,0.9776119402985075,0.9773516317237501,1.0,1.0,1.0,1.0,0.8142857142857143,0.7960967993754878,0.8142857142857143,0.8033613445378152
SVM,PR_HER2_ER,0.8656716417910447,0.8910496434668028,0.8656716417910447,0.870070843936997,0.9565217391304348,0.9619565217391305,0.9565217391304348,0.9572697522206638,0.8714285714285714,0.926530612244898,0.8714285714285714,0.8835538293482219
