Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,ER,0.9365671641791045,0.9363669896449038,0.9365671641791045,0.9364518182820943,0.3695652173913043,0.5110975980541198,0.3695652173913043,0.36390173707472506,0.2571428571428571,0.6914285714285715,0.2571428571428571,0.24257703081232487
Decision Tree,ER,0.7798507462686567,0.7790732893699076,0.7798507462686567,0.7794504281555039,0.6956521739130435,0.6841432225063938,0.6956521739130435,0.6885578189926016,0.6857142857142857,0.7226190476190476,0.6857142857142857,0.7025510204081633
KNN,ER,0.7649253731343284,0.7538663272783369,0.7649253731343284,0.7400985975455505,0.7391304347826086,0.7211098398169336,0.7391304347826086,0.714737436476567,0.7428571428571429,0.7247619047619048,0.7428571428571429,0.7333480079242791
Logistic Regression,ER,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9782608695652174,0.9789196310935442,0.9782608695652174,0.978025517155952,0.6285714285714286,0.7216450216450216,0.6285714285714286,0.6656730616775012
Random Forest,ER,0.9925373134328358,0.9926158680282798,0.9925373134328358,0.9925098237964285,1.0,1.0,1.0,1.0,0.8285714285714286,0.686530612244898,0.8285714285714286,0.7508928571428571
SVM,ER,0.7014925373134329,0.49209177990643793,0.7014925373134329,0.5784236711180938,0.6956521739130435,0.4839319470699433,0.6956521739130435,0.5707915273132664,0.8285714285714286,0.686530612244898,0.8285714285714286,0.7508928571428571
Naive Bayes,ER_HER2,0.9067164179104478,0.922423836167036,0.9067164179104478,0.9117240507095742,0.13043478260869565,0.9033816425120773,0.13043478260869565,0.06418219461697722,0.21428571428571427,0.43697478991596633,0.21428571428571427,0.09985807893227043
Decision Tree,ER_HER2,0.9067164179104478,0.915970741530443,0.9067164179104478,0.8886938234877694,0.9347826086956522,0.9392292490118577,0.9347826086956522,0.921958348556814,0.6571428571428571,0.63948332369385,0.6571428571428571,0.6479591836734695
KNN,ER_HER2,0.8768656716417911,0.8630421478114829,0.8768656716417911,0.8650510772364193,0.9130434782608695,0.9015840916750927,0.9130434782608695,0.9032091097308489,0.7,0.6015625,0.7,0.6470588235294118
Logistic Regression,ER_HER2,0.9216417910447762,0.921295163526629,0.9216417910447762,0.9128090561401713,0.9782608695652174,0.9787784679089028,0.9782608695652174,0.9771840987136953,0.7571428571428571,0.6123949579831933,0.7571428571428571,0.6771196283391405
Random Forest,ER_HER2,0.9253731343283582,0.9314157955163453,0.9253731343283582,0.9149109495397655,1.0,1.0,1.0,1.0,0.7857142857142857,0.6173469387755102,0.7857142857142857,0.6914285714285714
SVM,ER_HER2,0.9850746268656716,0.9853330748853137,0.9850746268656716,0.9847571012923292,1.0,1.0,1.0,1.0,0.7285714285714285,0.6071428571428571,0.7285714285714285,0.6623376623376623
Naive Bayes,ER_HER2_PR,0.8805970149253731,0.8810720702045328,0.8805970149253731,0.8807841560757192,0.3695652173913043,0.7758454106280194,0.3695652173913043,0.22454188030257743,0.3142857142857143,0.7913043478260869,0.3142857142857143,0.168
Decision Tree,ER_HER2_PR,0.9888059701492538,0.9890094979647218,0.9888059701492538,0.9887769789828784,0.9782608695652174,0.9789621318373072,0.9782608695652174,0.9780884280229003,0.6285714285714286,0.6822167080231596,0.6285714285714286,0.6431818181818183
KNN,ER_HER2_PR,0.6455223880597015,0.6351452285019742,0.6455223880597015,0.6345235500629943,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6428571428571429,0.6071428571428571,0.6428571428571429,0.619047619047619
Logistic Regression,ER_HER2_PR,0.996268656716418,0.9963035290835541,0.996268656716418,0.996271639665016,1.0,1.0,1.0,1.0,0.7285714285714285,0.7607142857142857,0.7285714285714285,0.7375196232339091
Random Forest,ER_HER2_PR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.6861538461538461,0.7142857142857143,0.6464237516869096
SVM,ER_HER2_PR,0.996268656716418,0.9962915483930044,0.996268656716418,0.9962655551988508,1.0,1.0,1.0,1.0,0.7857142857142857,0.7766203703703703,0.7857142857142857,0.7764366308055628
