Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,ER,0.9365671641791045,0.9363669896449038,0.9365671641791045,0.9364518182820943,0.3695652173913043,0.5110975980541198,0.3695652173913043,0.36390173707472506,0.2571428571428571,0.6914285714285715,0.2571428571428571,0.24257703081232487
Decision Tree,ER,0.8171641791044776,0.8120496490673136,0.8171641791044776,0.8130136477489768,0.7608695652173914,0.7525083612040133,0.7608695652173914,0.7328026127781179,0.7571428571428571,0.7308352849336456,0.7571428571428571,0.7428571428571429
KNN,ER,0.7649253731343284,0.7538663272783369,0.7649253731343284,0.7400985975455505,0.7391304347826086,0.7211098398169336,0.7391304347826086,0.714737436476567,0.7428571428571429,0.7247619047619048,0.7428571428571429,0.7333480079242791
Logistic Regression,ER,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9782608695652174,0.9789196310935442,0.9782608695652174,0.978025517155952,0.6285714285714286,0.7216450216450216,0.6285714285714286,0.6656730616775012
Random Forest,ER,0.9776119402985075,0.9783043545160794,0.9776119402985075,0.9773516317237501,1.0,1.0,1.0,1.0,0.8285714285714286,0.686530612244898,0.8285714285714286,0.7508928571428571
SVM,ER,0.7014925373134329,0.49209177990643793,0.7014925373134329,0.5784236711180938,0.6956521739130435,0.4839319470699433,0.6956521739130435,0.5707915273132664,0.8285714285714286,0.686530612244898,0.8285714285714286,0.7508928571428571
Naive Bayes,ER_PR,0.8544776119402985,0.8547347144234709,0.8544776119402985,0.8545939469356224,0.30434782608695654,0.27070393374741203,0.30434782608695654,0.19428521033600848,0.3142857142857143,0.7913043478260869,0.3142857142857143,0.168
Decision Tree,ER_PR,0.8694029850746269,0.8742097797647862,0.8694029850746269,0.8703291519593682,0.8478260869565217,0.8941398865784499,0.8478260869565217,0.85143349950569,0.5,0.6585144927536231,0.5,0.5076671437333878
KNN,ER_PR,0.6529850746268657,0.6432607215457669,0.6529850746268657,0.6422177911142994,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6571428571428571,0.6290909090909091,0.6571428571428571,0.6384615384615385
Logistic Regression,ER_PR,0.996268656716418,0.9963035290835541,0.996268656716418,0.996271639665016,1.0,1.0,1.0,1.0,0.7285714285714285,0.7607142857142857,0.7285714285714285,0.7375196232339091
Random Forest,ER_PR,0.996268656716418,0.9962915483930044,0.996268656716418,0.9962655551988508,1.0,1.0,1.0,1.0,0.7571428571428571,0.8196969696969697,0.7571428571428571,0.6925217391304348
SVM,ER_PR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7571428571428571,0.754,0.7571428571428571,0.7554077358955408
Naive Bayes,ER_PR_HER2,0.914179104477612,0.9292149067745387,0.914179104477612,0.9187861266528082,0.15217391304347827,0.9036561264822135,0.15217391304347827,0.1050948185138565,0.24285714285714285,0.6347402597402597,0.24285714285714285,0.15397722177383194
Decision Tree,ER_PR_HER2,0.9328358208955224,0.9307228337079083,0.9328358208955224,0.9314069558154809,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.7285714285714285,0.6928571428571428,0.7285714285714285,0.7073291925465839
KNN,ER_PR_HER2,0.8768656716417911,0.8630421478114829,0.8768656716417911,0.8650510772364193,0.9130434782608695,0.9015840916750927,0.9130434782608695,0.9032091097308489,0.7,0.6015625,0.7,0.6470588235294118
Logistic Regression,ER_PR_HER2,0.914179104477612,0.913786113777013,0.914179104477612,0.902961533818875,0.9782608695652174,0.9787784679089028,0.9782608695652174,0.9771840987136953,0.7571428571428571,0.6123949579831933,0.7571428571428571,0.6771196283391405
Random Forest,ER_PR_HER2,0.9850746268656716,0.9853330748853137,0.9850746268656716,0.9847571012923292,1.0,1.0,1.0,1.0,0.6714285714285714,0.5956221198156683,0.6714285714285714,0.6312576312576311
SVM,ER_PR_HER2,0.9850746268656716,0.9853330748853137,0.9850746268656716,0.9847571012923292,1.0,1.0,1.0,1.0,0.7285714285714285,0.6071428571428571,0.7285714285714285,0.6623376623376623
