Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,HER2,0.8992537313432836,0.9156327655595337,0.8992537313432836,0.9046619747663401,0.10869565217391304,0.011814744801512287,0.10869565217391304,0.021312872975277068,0.22857142857142856,0.5685856432125088,0.22857142857142856,0.12735792382554367
Decision Tree,HER2,0.9776119402985075,0.9804699904731661,0.9776119402985075,0.9782252495638689,1.0,1.0,1.0,1.0,0.6714285714285714,0.5956221198156683,0.6714285714285714,0.6312576312576311
KNN,HER2,0.8694029850746269,0.8536580448045848,0.8694029850746269,0.856872354644687,0.9130434782608695,0.9015840916750927,0.9130434782608695,0.9032091097308489,0.7,0.6015625,0.7,0.6470588235294118
Logistic Regression,HER2,0.9104477611940298,0.9058092254775506,0.9104477611940298,0.9011172377955484,0.9782608695652174,0.9787784679089028,0.9782608695652174,0.9771840987136953,0.7428571428571429,0.6098081023454157,0.7428571428571429,0.6697892271662764
Random Forest,HER2,0.9514925373134329,0.9541200248756219,0.9514925373134329,0.9475981511305775,0.9782608695652174,0.9787784679089028,0.9782608695652174,0.9771840987136953,0.7857142857142857,0.6173469387755102,0.7857142857142857,0.6914285714285714
SVM,HER2,0.9888059701492538,0.9889519792342634,0.9888059701492538,0.9886301671709591,1.0,1.0,1.0,1.0,0.7142857142857143,0.6043956043956044,0.7142857142857143,0.6547619047619047
Naive Bayes,HER2_PR,0.8582089552238806,0.8613239339869349,0.8582089552238806,0.8589921508682136,0.3695652173913043,0.7758454106280194,0.3695652173913043,0.22454188030257743,0.3,0.09,0.3,0.13846153846153844
Decision Tree,HER2_PR,0.7313432835820896,0.7278803961558666,0.7313432835820896,0.7243305831657048,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.5857142857142857,0.6021739130434782,0.5857142857142857,0.5929824561403508
KNN,HER2_PR,0.6417910447761194,0.6313632467090198,0.6417910447761194,0.6312786763176049,0.6086956521739131,0.6204278812974465,0.6086956521739131,0.6134579768939059,0.6428571428571429,0.6071428571428571,0.6428571428571429,0.619047619047619
Logistic Regression,HER2_PR,0.9850746268656716,0.9850746268656716,0.9850746268656716,0.9850746268656716,0.9347826086956522,0.9407114624505929,0.9347826086956522,0.9329620903833797,0.5428571428571428,0.6108108108108108,0.5428571428571428,0.5617571059431524
Random Forest,HER2_PR,0.9888059701492538,0.9890094979647218,0.9888059701492538,0.9887769789828784,1.0,1.0,1.0,1.0,0.6857142857142857,0.6153846153846154,0.6857142857142857,0.6110661268556006
SVM,HER2_PR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.7971014492753624,0.7142857142857143,0.6086286594761171
Naive Bayes,HER2_PR_ER,0.9328358208955224,0.932316214977743,0.9328358208955224,0.9323282373557316,0.34782608695652173,0.5550724637681159,0.34782608695652173,0.281718789727943,0.3,0.7852080123266564,0.3,0.29328434374362117
Decision Tree,HER2_PR_ER,0.8992537313432836,0.8996392566775944,0.8992537313432836,0.8994322795958098,0.9130434782608695,0.9197463768115943,0.9130434782608695,0.9145395044413276,0.6428571428571429,0.7592380952380953,0.6428571428571429,0.6830603141282753
KNN,HER2_PR_ER,0.7723880597014925,0.7618966877368236,0.7723880597014925,0.7519988184522587,0.7391304347826086,0.7211098398169336,0.7391304347826086,0.714737436476567,0.7571428571428571,0.7308352849336456,0.7571428571428571,0.7428571428571429
Logistic Regression,HER2_PR_ER,0.9589552238805971,0.9613686188982692,0.9589552238805971,0.9594261301447584,0.9565217391304348,0.9619565217391305,0.9565217391304348,0.9572697522206638,0.8571428571428571,0.891941391941392,0.8571428571428571,0.8675324675324675
Random Forest,HER2_PR_ER,0.9701492537313433,0.9713676515382271,0.9701492537313433,0.9696746530505367,1.0,1.0,1.0,1.0,0.8142857142857143,0.684472049689441,0.8142857142857143,0.7437570303712036
SVM,HER2_PR_ER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7857142857142857,0.7927511085405822,0.7857142857142857,0.7890683229813664
